answers_json,article_id,article_max_scroll_y,article_order,article_scroll_event_count,article_total_scroll_distance_px,client_instance_id,comment_accessibility,comment_click_count,comment_close_count,comment_interaction_count,comment_open_count,completed_at,condition,correct,current_article_order,current_stage,document_height,effort,elapsed_ms,frustration,initial_reading_time_ms,item_start_time,last_seen_at,mental_demand,mode,normalized_scroll_distance,option_change_count,option_click_count,paragraph_toggle_count,participant_id,performance,physical_demand,preferred_condition,question_id,question_max_scroll_y,question_scroll_event_count,question_total_scroll_distance_px,question_type,ranking_json,reading_continuity,reading_end_time,reading_start_time,reason,reset_at,selected_option,session_id,started_at,status,submit_time,temporal_demand
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,8825,5,310650,1789901967113,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,R1,0.0,0,0.0,cra,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789901975938,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,6189,5,310650,1789901976636,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,R2,0.0,0,0.0,cra,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,B,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789901982825,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,8313,5,310650,1789902010042,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,Q1,0.0,0,0.0,aca,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789902018355,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,6588,5,310650,1789902019047,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,Q2,0.0,0,0.0,aca,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789902025635,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,13286,5,310650,1789902028681,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,Q3,0.0,0,0.0,ctia,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789902041967,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A02,1519.0,1,36,5757.0,client-1789901633827-637d4af74fca9,3,14,0,14,0,2026-09-20T12:14:17.767+00:00,TE,1,4,complete,2790.0,2,34671,5,310650,1789902042664,2026-09-20T12:14:17.767+00:00,4,formal,2.063440860215054,0,1,0,P01,2,2,SE,Q4,0.0,0,0.0,ctia,"[""SE"",""BL"",""TE"",""CS""]",4,1789901963497,1789901652847,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789902077335,4
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,1,4,complete,1358.0,1,4071,1,469566,1789903155669,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,R1,0.0,0,0.0,cra,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903159740,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,0,4,complete,1358.0,1,6677,1,469566,1789903160450,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,R2,0.0,0,0.0,cra,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903167127,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,1,4,complete,1358.0,1,3967,1,469566,1789903185174,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,Q1,0.0,0,0.0,aca,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903189141,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,1,4,complete,1358.0,1,9869,1,469566,1789903189834,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,Q2,0.0,0,0.0,aca,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903199703,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,1,4,complete,1358.0,1,7938,1,469566,1789903203543,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,Q3,0.0,0,0.0,ctia,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903211481,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A04,87.0,2,1,87.0,client-1789901633827-637d4af74fca9,7,0,0,0,0,2026-09-20T12:14:17.767+00:00,SE,1,4,complete,1358.0,1,3457,1,469566,1789903212199,2026-09-20T12:14:17.767+00:00,1,formal,0.06406480117820323,0,1,0,P01,1,1,SE,Q4,0.0,0,0.0,ctia,"[""SE"",""BL"",""TE"",""CS""]",7,1789903153258,1789902683692,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789903215656,2
"{""q1"":""句末跟随，非常适合沉浸式阅读。多余的硬性交互会打断思绪（更希望交互是可选择的，而不是必须交互才能查看新的内容）。"",""q2"":""点击查看，有时沉浸式阅读时，我会更倾向于一口气读完。而点击查看一方面会打断思绪，另一方面，评论和对应的文章距离过远，不适合对照分析。"",""q3"":""一般不会看每个评论，因为查找对应内容过于费时费力。只有当某个评论很有价值或者说有兴趣时才会回到原文中对照。比如第一种，我不会查找正文对应内容，我会只看评论，权当这些是总结（也许评论是片面的但也无关紧要）"",""q4"":""1.我希望在句末跟随的基础上加入点击切换评论（当然更希望默认的评论是最有价值的，信息量含的最多的（就是可以对文章补全最多，或者站在全新的角度给予新的视角。可以参考\""信息熵\""）。）\n2.我希望可以手动高亮部分文本，并且可以适时地把选择的文本单独整理到右边侧栏。便于对照分析。\n3.我希望可以自动分析文章的框架并且总结关键信息。这样可以让一些不想读全文，只想获取部分文段的部分关键信息的人查找对应段落并进行阅读。""}",A03,87.0,3,5,435.0,client-1789901633827-637d4af74fca9,7,6,0,22,16,2026-09-20T12:14:17.767+00:00,CS,0,4,complete,1358.0,6,11605,6,279716,1789902469558,2026-09-20T12:14:17.767+00:00,7,formal,0.32032400589101623,0,1,0,P01,6,2,SE,R1,0.0,0,0.0,cra,"[""SE"",""BL"",""TE"",""CS""]",7,1789902454995,1789902175279,不用任何多余操作，当你沉浸式阅读时不会被因为交互被打断，另外有些评论很好的补充了文章中的内容。,,A,81dc5b539bc448808b943a4ef8d1ced8,2026-09-20T10:54:01.339+00:00,completed,1789902481163,2
